"countryname","years","region"
"senegal",70.6,"Africa"
"ukraine",70.5,"Europe"
"timor-leste",70.5,"East and Southeast Asia"
"gabon",70.4,"Africa"
"kenya",70.4,"Africa"
"burma",70.3,"East and Southeast Asia"
"pakistan",70.3,"South Asia"
"moldova",70.1,"Europe"
"ghana",70.1,"Africa"
"papua-new-guinea",70.1,"East and Southeast Asia"
"uganda",69.7,"Africa"
"laos",69,"East and Southeast Asia"
"tuvalu",69,"Australia and Oceania"
"peru",68.9,"South America"
"madagascar",68.8,"Africa"
"nauru",68.6,"Australia and Oceania"
"kiribati",68.5,"Australia and Oceania"
"gambia-the",68.4,"Africa"
"india",68.2,"South Asia"
"yemen",68.2,"Middle East"
"burundi",68.1,"Africa"
"comoros",67.8,"Africa"
"sudan",67.8,"Africa"
"sao-tome-and-principe",67.7,"Africa"
"ethiopia",67.7,"Africa"
"eritrea",67.5,"Africa"
"zimbabwe",67.2,"Africa"
"zambia",66.9,"Africa"
"rwanda",66.6,"Africa"
"botswana",66.4,"Africa"
"djibouti",65.9,"Africa"
"namibia",65.9,"Africa"
"mauritania",65.9,"Africa"
"haiti",65.6,"Central America and the Caribbean"
"guinea",64.6,"Africa"
"guinea-bissau",64.5,"Africa"
"burkina-faso",64.2,"Africa"
"cameroon",64.2,"Africa"
"equatorial-guinea",63.9,"Africa"
"mali",63.2,"Africa"
"cote-divoire",63.2,"Africa"
"benin",63,"Africa"
"angola",62.9,"Africa"
"congo-democratic-republic-of-the",62.6,"Africa"
"nigeria",62.2,"Africa"
"liberia",61.6,"Africa"
"niger",60.9,"Africa"
"eswatini",60.7,"Africa"
"south-sudan",60.3,"Africa"
"lesotho",60.2,"Africa"
"chad",60,"Africa"
"sierra-leone",59.4,"Africa"
"mozambique",58.3,"Africa"
"somalia",56.5,"Africa"
"central-african-republic",56.4,"Africa"
"afghanistan",54.4,"South Asia"
